birthdate	job	ssn	username	registration	name	address	blood_group	company	user_id	mail	current_location	station_ID
1997-10-01		019-68-3445	johnsonmatthew	2022/10/06	Denise Mcneil	"801 Dave Drives
Grossview, WI 33372"	AB-	Terry, Adams and Durham	300	candice82@yahoo.com	(Decimal('2.575436'), Decimal('36.926499'))	460
1927-06-15		MCCRCT21A67I590X	yjilani	20 Apr 2023	Renata Callegari	"Vicolo Calcedonio, 169 Appartamento 4
18021, Borgomaro (IM)"	B+	Ferragni s.r.l.	1175	vendettijacopo@yahoo.com	(Decimal('-26.684081'), Decimal('-83.467797'))	236
1930-07-16	Administrator, local government	877-26-4650	cooperjoshua	2024/05/05	Eric Welch	"91950 Mccall Lodge Suite 048
Schwartztown, LA 37750"	B+	Davidson-Patel	1207	kidderic@gmail.com	(Decimal('-67.365525'), Decimal('-60.805569'))	133
1943-11-26		037-66-4873	taichi23	2020-05-07	伊藤 亮介	徳島県中野区高輪8丁目4番9号 シティ五味ヶ谷757	B-	山本印刷有限会社	457	maayanishimura@hotmail.com	(Decimal('-16.536274'), Decimal('33.209720'))	282
2021-06-23		046-96-5140	rhanson	27 Dec 2018	Michael Krause	"3450 Cain Fall Apt. 133
Branditon, DE 38851"	A-	Carroll, King and Burton	593	amberfoley@yahoo.com	(Decimal('86.000970'), Decimal('-41.401268'))	82
		396-30-1163	beierenno	2019-12-07	Hannah Ritter		A-	Rohleder GmbH & Co. KG	1148	kramerklemens@aol.de	(Decimal('47.133141'), Decimal('-102.995050'))	237
1910-09-28	Industrial/product designer	NGNRRA95R17G719M	sbarbarodomenico	02 Jun 2019	Sig. Mirko Mondadori	"Strada Ezio, 5 Appartamento 38
63853, Montelparo (FM)"	A+	Giannuzzi SPA	1974	mattia48@yahoo.com	(Decimal('9.5786665'), Decimal('-97.168300'))	312
		42071938631	souzakamilly	10/16/2018, 00:00:00	Sra. Vitória da Luz	"Estação de da Rocha
João Alfredo
79471-714 Aragão / PB"	B+	Casa Grande Correia e Filhos	1216	aurora63@yahoo.com.br	(Decimal('49.4999515'), Decimal('-131.638618'))	63
1984-03-16		214-50-3503	charles96	05/09/2022, 00:00:00	Aaron Hess	"80002 Kimberly Ferry
West Clairefort, NH 72248"	A-	Pierce Group	852	qkelly@yahoo.com	(Decimal('56.4270095'), Decimal('34.859761'))	711
2021-03-19		LDVPNI19A09G754Y	npersico	2023/03/01	Marissa Morabito-Modigliani	"Vicolo Spanevello, 63 Piano 0
98162, Messina (ME)"	A+	Giorgetti, Brunelleschi e Leblanc s.r.l.	275	bmaggioli@libero.it	(Decimal('-11.5744095'), Decimal('124.540204'))	275
2000-06-02		TGLMLE43L66C341Q	azeglioantonelli	2021/10/06	Dott. Uberto Ariosto	"Viale Gioele, 41 Appartamento 6
04015, Priverno (LT)"	AB+	Saffi, Botta e Tamborini s.r.l.	1390	camillobaresi@tim.it	(Decimal('52.9722405'), Decimal('139.490694'))	813
1964-08-17		777-33-6503	manabuwatanabe	04/15/2020, 00:00:00	渡辺 直樹	鳥取県神津島村今戸27丁目7番16号 天神島パーク140	O+	小川印刷株式会社	2000	ftanaka@yahoo.com	(Decimal('-38.189679'), Decimal('-165.763759'))	767
	Clinical research associate	553-37-0078	seanlloyd	2024-04-30	Mrs. Karen Lee	"4025 Valerie Mission Suite 421
Ashleystad, MD 63378"	AB+	Smith-Davidson	1225	steven35@yahoo.com	(Decimal('-3.743802'), Decimal('-6.301560'))	819
1993-07-16	歯科医師	040-76-4273	xmaeda	09 Aug 2024	青木 和也	宮崎県八千代市九段南14丁目13番17号 天神島コート887	A+	佐藤鉱業合同会社	1835	momoko07@gmail.com	(Decimal('-3.636133'), Decimal('64.702555'))	650
1992-09-21		92381460551	jnunes	2022/05/05	Luísa Sampaio	"Núcleo Rios, 932
Santa Lúcia
83612-498 Cunha Paulista / RJ"	AB+	Ramos	1769	garciathomas@bol.com.br	(Decimal('12.1345145'), Decimal('171.137349'))	540
		726-13-8788	vroehrdanz	05/21/2024, 00:00:00	Joseph Rosenow		B-	Rädel KG	287	johann78@hotmail.de	(Decimal('-62.9108795'), Decimal('-60.113314'))	214
1941-07-10		057-12-4328	taro29	08/17/2024, 00:00:00	伊藤 陽子		O-	林通信有限会社	779	yosukeito@gmail.com	(Decimal('58.582928'), Decimal('119.567446'))	160
2024-02-15		15349062743	maitecostela	2023/11/21	Ravi Câmara	"Lagoa da Rosa, 63
Embaúbas
85529561 Abreu do Galho / PR"	O-	Sousa	1581	melina91@yahoo.com.br	(Decimal('-84.7862235'), Decimal('45.644791'))	493
1947-11-23		380-50-6111	tsubasasuzuki	01/28/2019, 00:00:00	山田 英樹		AB-	伊藤食品有限会社	1600	gsuzuki@hotmail.com	(Decimal('-8.707886'), Decimal('-102.942584'))	512
2021-01-30		191-23-7952	trubinkurt	2020/10/01	Univ.Prof. Klaus-Michael Ebert		O+	Junken AG & Co. KG	1915	marinaschueler@aol.de	(Decimal('-68.1171655'), Decimal('46.777085'))	88
1978-08-21		018-13-9138	annelies33	22 Jun 2021	Hans-Heinrich Klemt	"Phillip-Pergande-Straße 6936
51286 Tecklenburg"	B+	Löchel	1825	renekrause@googlemail.com	(Decimal('-14.1707215'), Decimal('-38.911900'))	626
1957-07-20		BRNCLC37E47C593Q	laureanolonghena	2020/07/06	Licia Trebbi-Fattori	"Piazza Umberto, 33 Appartamento 81
74013, Ginosa (TA)"	AB-	Bosio-Boiardo e figli	1319	tguarato@gmail.com	(Decimal('-68.6954495'), Decimal('75.863058'))	751
1929-12-11		TSTLVI06R31D622O	paulina73	03/26/2024, 00:00:00	Maurizio Fantoni-Lerner		AB+	Calarco, Bersani e Bocca s.r.l.	827	monduzziumberto@fastwebnet.it	(Decimal('68.453193'), Decimal('-8.459587'))	671
		49837521023	fernandopires	2018/10/12	Enzo Gabriel Alves	"Chácara Joaquim Rodrigues, 39
Lajedo
49389-015 Fernandes dos Dourados / AC"	AB-	Lopes Costa - ME	1452	liam23@uol.com.br	(Decimal('58.3595325'), Decimal('-65.829547'))	98
1934-06-12		56304829124	viniciusfernandes	05/11/2021, 00:00:00	Bianca Abreu		AB-	Rezende Camargo - ME	729	fernandonascimento@bol.com.br	(Decimal('81.8746045'), Decimal('132.582506'))	11
1994-01-28		MRRMLN64A10H448D	domenicobernetti	21 Nov 2023	Livia Alboni	"Incrocio Morellato, 85 Piano 1
63900, Salvano (FM)"	O-	Filippini e figli	1892	griseldacesarotti@tin.it	(Decimal('20.1125705'), Decimal('-50.657621'))	248
1978-10-03		CTNRCC56D47H045K	marcello28	12/08/2023, 00:00:00	Dott. Claudia Casalodi	"Viale Curatoli, 31
37135, Verona (VR)"	AB+	Einaudi-Alfieri SPA	1228	rolandocagnotto@gmail.com	(Decimal('15.169717'), Decimal('12.398311'))	294
		818-06-0371	shotatanaka	08 May 2025	佐藤 舞	島根県小笠原村猿楽町17丁目14番16号	A+	山本電気有限会社	251	taichi08@gmail.com	(Decimal('-27.8278305'), Decimal('-19.083154'))	662
		LNTPLN95A05D111D	abateelisa	05/24/2024, 00:00:00	Azeglio Onisto	"Stretto Nolcini, 57
26843, Meleti (LO)"	B+	Molesini, Iannelli e Valier e figli	63	gioacchinobiagiotti@libero.it	(Decimal('-75.3626115'), Decimal('-59.418499'))	74
1948-03-20		07563814280	cavalcanteluan	2024/03/06	Arthur Aragão	"Setor de Araújo, 17
Glória
48133848 da Rocha do Amparo / CE"	O+	Cunha S/A	44	ycosta@yahoo.com.br	(Decimal('-59.498196'), Decimal('-102.234244'))	753
1975-05-04	Charity fundraiser	GLTMRC52L48I056D	tatianaveltroni	2019-09-05	Alderano Altera	"Borgo Bruno, 50 Piano 4
83058, Trevico (AV)"	A+	Anastasi e figli	663	pborgia@libero.it	(Decimal('-37.085805'), Decimal('-92.746844'))	102
2017-04-01		CLLPSL42P60C117V	danielemichelangeli	05/20/2021, 00:00:00	Claudio Mazzacurati	"Stretto Leone, 33
46010, Cesole (MN)"	AB-	Coardi, Tomasetti e Bocelli s.r.l.	361	renzo93@tiscali.it	(Decimal('-28.704662'), Decimal('85.375758'))	167
	Broker/Corretor da bolsa de valores	58029417314	davida-mata	2021/07/23	Maria Liz Porto	"Vale Aylla Silveira, 3
Vila Jardim Montanhes
25483-689 Fernandes de Sousa / AP"	B+	Nogueira	493	luan75@bol.com.br	(Decimal('17.4156995'), Decimal('-2.541731'))	587
		776-43-2765	tilomartin	2025/07/05	Manuel Zänker	"Urban-Steinberg-Straße 9/6
88824 Wismar"	A-	Pechel	1579	hermine16@aol.de	(Decimal('-6.7714295'), Decimal('168.711509'))	809
		121-55-0235	chadwalton	03/11/2019, 00:00:00	Catherine Ramos	"8310 Peter Key Apt. 492
New Cameronhaven, CA 19279"	A-	Dunn-Bryant	1175	mccallsara@gmail.com	(Decimal('-47.7294575'), Decimal('-9.906036'))	746
1944-10-07		749-48-6659	nturner	23 Nov 2020	Susan Ortiz	"79149 Wells Turnpike
West Michealshire, CA 81988"	A-	Johnson-Robinson	1286	jonathan30@yahoo.com	(Decimal('-63.9292715'), Decimal('-76.366035'))	849
1911-08-30		SCLRNR45A59A560D	caroccibianca	06/06/2019, 00:00:00	Patrizia Volta		O+	Draghi Group	763	lucreziamezzetta@outlook.com	(Decimal('76.718857'), Decimal('15.799551'))	788
1916-01-08	Timoneiro	13540629815	esthermacedo	2023-07-13	Stephany Caldeira	"Trevo de Caldeira, 472
Vila Nova Paraíso
17216877 Aparecida do Oeste / AC"	B-	Gomes - ME	1344	rafaela19@bol.com.br	(Decimal('-84.6184175'), Decimal('-141.422312'))	527
1980-08-29	Education officer, museum	639-34-7050	sotojoseph	2021/02/05	David Frazier	"29409 Miranda Springs
South David, IL 45954"	B-	Monroe-Gutierrez	1444	michael93@gmail.com	(Decimal('-19.236638'), Decimal('-30.288803'))	331
2007-05-24		96438172537	maite84	2022-01-04	Anna Liz Moura	"Conjunto de Monteiro, 79
São Pedro
34830573 Teixeira / PB"	O+	Guerra	1983	luiz-migueljesus@hotmail.com	(Decimal('79.678933'), Decimal('-38.645630'))	101
		CBBVLT93M28B573L	giuliosollima	2019/09/07	Adele Mezzetta	"Strada Rosiello, 6 Appartamento 76
90010, Cerda (PA)"	AB-	Serraglio Group	510	ilariabelletini@hotmail.it	(Decimal('49.9966595'), Decimal('33.937751'))	439
1955-06-17	Archivist	050-76-5761	dennisbrandi	08/29/2024, 00:00:00	Grant Williams	"739 Larry Center Suite 126
South Sarahfurt, FM 09140"	AB-	Bradford Group	1813	pwilson@hotmail.com	(Decimal('30.501537'), Decimal('148.928229'))	588
1977-02-19	寿司職人	260-81-0542	kazuyamori	06 Apr 2025	佐藤 幹	山形県横浜市瀬谷区平須賀38丁目18番17号 コーポ三ノ輪363	B+	株式会社石川水産	236	nanamiokamoto@gmail.com	(Decimal('8.965908'), Decimal('-44.375176'))	240
		83014756253	pnovaes	2024/01/21	Caio Aparecida		A+	Aragão	582	fdas-neves@hotmail.com		311
1966-03-25	高等学校教員	331-87-1811	hashimotoryohei	05/31/2020, 00:00:00	石川 充	鳥取県香取郡多古町浅草28丁目21番19号 コート丹勢317	A-	山口水産合同会社	1325	akemitanaka@gmail.com	(Decimal('-65.352862'), Decimal('57.070486'))	397
		087-54-4096	asuka93	30 Jul 2020	池田 花子	福井県杉並区東神田41丁目8番14号 コート西浅草937	A+	有限会社森保険	1801	taichi44@gmail.com	(Decimal('2.656793'), Decimal('-70.013192'))	193
		JLNDNT03B53C957Z	wtoselli	2019-04-21	Caterina Civaschi-Perozzo	"Contrada Anguissola, 44
83034, Casalbore (AV)"	AB-	Stein, Simeoni e Faranda s.r.l.	779	fabio88@gmail.com	(Decimal('64.6647425'), Decimal('113.841967'))	139
	Corredor de atletismo	39564107261	davi-lucasjesus	19 Jan 2019	Sr. Henrique Nascimento	"Praia de Câmara, 89
Gameleira
51716952 Campos de Minas / PB"	A-	Casa Grande das Neves e Filhos	177	piresjoao-felipe@hotmail.com	(Decimal('36.616715'), Decimal('31.651738'))	778
	Dentist	672-99-1261	fbender	01/31/2021, 00:00:00	Robert Stone	"9808 John Ridges
Lake Marktown, CT 30088"	AB-	Jensen Inc	258	barkercynthia@yahoo.com	(Decimal('42.6881245'), Decimal('-2.319781'))	7
1982-12-17	Mergulhador	07146358208	carvalhomariane	2020-11-25	Leandro Costa	"Parque de Castro, 8
Vila De Sá
98980520 Pinto de Minas / MA"	O+	Martins e Filhos	1850	ecavalcanti@bol.com.br	(Decimal('-14.2229215'), Decimal('-59.185706'))	216
1970-07-21		122-86-4193	stolzephilipp	2023-06-15	Maurice Kruschwitz B.Sc.	"Kitzmanngasse 8
68844 Grafenau"	O-	Noack AG	1843	briemerjoerg-peter@yahoo.de	(Decimal('32.986384'), Decimal('-39.181540'))	314
		593-90-7160	manabu89	2022/11/05	森 翼	山口県横浜市栄区手岡15丁目26番14号	O+	合同会社三浦ガス	491	ryohei83@yahoo.com	(Decimal('-69.5877945'), Decimal('-73.747726'))	692
		396-05-7151	kevin98	27 Feb 2019	Justin Cardenas		O-	Nicholson-Brown	2028	halekeith@yahoo.com	(Decimal('69.7402665'), Decimal('110.265117'))	492
1959-05-05		074-89-3916	zwagenknecht	10/23/2020, 00:00:00	Alexej Noack	"Babett-Beyer-Platz 35/72
93749 Füssen"	B+	Schleich	1315	ufranke@aol.de	(Decimal('15.980543'), Decimal('-98.868472'))	377
1992-12-23		179-56-5665	suzukiminoru	24 Jan 2021	伊藤 浩		O-	有限会社木村ガス	709	takuma73@gmail.com	(Decimal('-11.9617775'), Decimal('108.126610'))	14
1945-07-08		17895634020	garaujo	2024/01/22	Dra. Sara Pinto	"Parque Silveira, 3
Califórnia
45025-414 Monteiro / RR"	O-	da Mota Sales - EI	869	lcamargo@gmail.com	(Decimal('-22.3245105'), Decimal('58.432415'))	110
2015-02-11		755-60-5121	tanakamai	05/29/2025, 00:00:00	三浦 裕美子	鹿児島県西多摩郡瑞穂町高田馬場20丁目3番3号 戸山パレス968	O-	石川情報株式会社	1347	fukudatakuma@hotmail.com	(Decimal('69.4045145'), Decimal('131.019083'))	493
		594-81-0631	yasuhiro37	09/29/2021, 00:00:00	井上 健一	熊本県富津市南赤田29丁目13番6号 シティ羽折町231	A-	有限会社近藤水産	135	syoshida@hotmail.com	(Decimal('38.6664835'), Decimal('127.410311'))	494
		12548967328	rochaemanuella	2019-06-06	Vicente Farias	"Lagoa de Porto, 81
Eymard
35028-925 Dias / RS"	B-	Correia Costela e Filhos	721	gda-rosa@hotmail.com	(Decimal('-73.225095'), Decimal('32.875791'))	686
1926-12-22		BSDGSN00E68G794C	ottavio29	2020/05/02	Uberto Soprano	"Viale Sante, 32
00027, Roviano (RM)"	O-	Basso, Bocca e Ostinelli e figli	715	marconivincenzo@libero.it	(Decimal('-39.8880145'), Decimal('-62.169292'))	386
1960-03-05		637-16-8713	ryohei16	08/01/2021, 00:00:00	高橋 裕美子	北海道印西市津久戸町12丁目7番20号 藤金パレス476	B-	有限会社加藤農林	2025	tota@gmail.com	(Decimal('4.934647'), Decimal('-139.607032'))	750
2024-04-03	Hospital pharmacist	NNCVRL73H56C037C	xpuglisi	2019-08-22	Alessandro Mastroianni		A-	Calarco e figli	519	gtreccani@gmail.com	(Decimal('48.3897835'), Decimal('96.929407'))	336
1942-02-17		091-72-9329	klewis	2022-05-04	Kyle Lopez	"6771 Melissa Lake Apt. 929
Gilbertshire, DE 52165"	O-	Rodgers, Clark and Gardner	890	nmccann@hotmail.com	(Decimal('88.200294'), Decimal('173.074224'))	28
		SBTRMS91E68C582I	zoppettotelemaco	04/28/2023, 00:00:00	Gianni Tacchini-Iacobucci	"Borgo Gustavo, 9
44039, Rero (FE)"	A-	Donà SPA	1097	hugo82@yahoo.com	(Decimal('72.935472'), Decimal('-155.521982'))	605
		017-54-9777	yosuke61	09 Sep 2020	石川 陽子		B+	合同会社山田農林	1870	yutakato@yahoo.com	(Decimal('-74.431216'), Decimal('40.840298'))	643
1995-06-14		303-79-4956	sotaroyamamoto	2022-08-03	石川 篤司	静岡県江東区筑土八幡町35丁目9番18号 コーポ四区町582	A+	林保険有限会社	1452	mituru52@hotmail.com	(Decimal('23.232607'), Decimal('-155.245372'))	219
1998-04-21	Chartered public finance accountant	463-67-0892	vtrujillo	2020-12-11	Jesse Mccormick	"356 Robert Manors
South Christiantown, VA 53931"	B-	Bradley, Bolton and Johnson	926	katrinacampos@hotmail.com	(Decimal('-16.628546'), Decimal('-178.694454'))	647
1994-10-26		691-61-3777	junyamashita	09/20/2021, 00:00:00	吉田 洋介	大分県青ヶ島村四区町11丁目6番11号	AB+	株式会社田中運輸	1683	shimizukaori@yahoo.com	(Decimal('-44.5910695'), Decimal('113.351437'))	439
1937-04-27		76945328155	viananina	02/10/2025, 00:00:00	Isabela Porto	"Ladeira Lima, 4
Mantiqueira
71077490 Caldeira da Prata / AP"	AB+	Castro Lima - ME	541	sarah08@gmail.com	(Decimal('-16.549289'), Decimal('-151.593352'))	361
	Games developer	784-65-5093	denisebrown	13 Apr 2024	Peter Thompson	"04296 Abigail Landing Apt. 798
New Justinburgh, MI 31353"	O-	Davis, Stone and Rodriguez	655	anthonysilva@yahoo.com	(Decimal('-27.929239'), Decimal('155.232917'))	832
		057-08-7455	seanwebb	2022-07-14	Kevin Blake	"6194 Kimberly Ridges
Port Michaelton, GA 99026"	B-	George, Wilson and Phillips	691	anthony80@yahoo.com	(Decimal('-66.1799655'), Decimal('-57.757874'))	844
		PRZGRC51P53F489B	scanetta	16 Apr 2020	Guglielmo Samele	"Contrada Caccianemico, 674
92024, Canicatti' (AG)"	AB-	Bellucci-Zabarella s.r.l.	91	guidoneantonino@poste.it	(Decimal('85.6543975'), Decimal('161.803641'))	431
1938-04-01		93124586042	cardosolavinia	06/28/2024, 00:00:00	Breno Casa Grande	"Residencial Novais, 34
Minas Brasil
17778-996 Cavalcanti do Amparo / RJ"	AB+	Ferreira Vieira Ltda.	1180	aandrade@gmail.com	(Decimal('-63.829287'), Decimal('-46.167578'))	682
		528-05-9535	oharrison	2021/03/30	Charles Ramos	"84353 Pratt Loop Suite 644
Hernandezbury, AL 02628"	AB+	David Ltd	240	timothy12@yahoo.com	(Decimal('23.5137095'), Decimal('151.954626'))	54
1996-08-21		857-75-5962	reinald38	2024/03/01	Anna-Luise Ladeck	"Boucseinweg 5/8
31191 Altentreptow"	B-	Kostolzin AG & Co. OHG	1107	meyerveronika@gmail.com	(Decimal('-43.0894045'), Decimal('4.769028'))	569
		13750498288	joao-felipepeixoto	2021-04-06	Dra. Letícia Sousa	"Estação Cauê Santos
Santo Agostinho
58015-680 Ribeiro de da Rosa / AP"	AB+	Abreu Montenegro Ltda.	1629	kaique45@ig.com.br		536
1974-07-22		371-36-4120	tanakashohei	2024/12/10	松本 加奈	茨城県いすみ市脚折町30丁目16番14号 アーバン土沢285	AB+	西村通信合同会社	1477	hanako81@yahoo.com	(Decimal('-89.195477'), Decimal('101.592918'))	156
1993-03-17	アーティスト	684-13-4769	kyosukeinoue	08/08/2024, 00:00:00	遠藤 裕美子	山形県国分寺市押上29丁目3番16号	AB+	佐藤農林合同会社	982	gyamaguchi@hotmail.com	(Decimal('27.2268535'), Decimal('35.032475'))	614
		894-01-9350	kramerkarl-august	2023-02-07	Frau Rotraut Wulf B.Sc.	"Ringweg 51-22
40864 Rottweil"	AB+	Walter Bachmann GbR	1423	jaqueline62@gmail.com	(Decimal('-53.287031'), Decimal('134.685056'))	295
1960-08-07		846-30-1380	ndonaldson	10/16/2024, 00:00:00	Mr. Kevin Nguyen MD	"625 Stewart Hill
East Sarah, SD 72172"	B+	Hanson, Clayton and Williams	601	katelyn38@gmail.com	(Decimal('38.340808'), Decimal('-5.204032'))	613
		415-03-0793	hans-dietrichsuessebier	2019/01/01	Emmy Ullrich	"Schaafstr. 368
19230 Weißwasser"	A-	Henck	719	yscheel@web.de	(Decimal('87.8813925'), Decimal('-109.241707'))	65
1943-01-10		47508931297	luiz-felipe47	2023-08-20	Srta. Juliana Lopes	"Estrada de Monteiro, 66
Salgado Filho
74337-500 Aparecida / MA"	A+	Moreira e Filhos	1696	pimentadavi-lucas@yahoo.com.br	(Decimal('33.3571705'), Decimal('139.700010'))	802
	Técnico em taquigrafia	12387450671	olivermelo	2023/06/28	Gael Henrique Nunes		AB+	Viana	840	leocorreia@ig.com.br	(Decimal('21.3046865'), Decimal('22.641045'))	469
		431-81-6477	arnim15	2020/10/01	Reiner Beyer B.A.		B-	Geisler Möchlichen GbR	1095	inkenplath@gmail.com	(Decimal('25.669924'), Decimal('25.372892'))	770
		049-59-8221	hsharp	06/19/2019, 00:00:00	Jordan Padilla	"8924 Monica Neck
West Loritown, MP 84308"	B-	Hernandez, Sherman and Brooks	953	ischultz@yahoo.com	(Decimal('-47.050164'), Decimal('-128.601273'))	808
1911-01-22		258-96-8463	bishikawa	2022/03/07	佐藤 京助	石川県長生郡長生村中鉢石町24丁目17番8号 丹勢ハイツ947	O+	株式会社林電気	675	murakamitomoya@gmail.com	(Decimal('70.1334075'), Decimal('-75.376328'))	473
2023-11-30		02853719405	augusto43	2021/11/28	Elisa Oliveira	"Residencial de Alves, 32
Carlos Prates
37866-888 Teixeira de Melo / RN"	AB+	da Rocha	27	pedro-miguelrezende@hotmail.com	(Decimal('-39.494102'), Decimal('75.928106'))	783
		814-20-9520	jonathanwarren	2024/10/20	Justin Booth	"082 Lester Estate Suite 049
East Jessicahaven, SC 86494"	AB-	Dalton Group	9	townsendsally@hotmail.com	(Decimal('64.5056375'), Decimal('67.538071'))	379
1917-03-15		015-01-0232	uhesse	2023-02-04	Univ.Prof. Ljiljana Bruder	"Ronny-Oestrovsky-Weg 4/2
47617 Stadtsteinach"	AB+	Trubin Säuberlich AG	1280	wesackhans-juergen@hotmail.de	(Decimal('-54.8270685'), Decimal('-178.985241'))	367
		858-96-2617	naoko70	10/14/2021, 00:00:00	渡辺 真綾	福井県武蔵村山市丹勢37丁目5番5号 元浅草パーク017	AB-	加藤食品合同会社	890	sotaro28@yahoo.com	(Decimal('-88.807545'), Decimal('155.109990'))	557
		250-81-4492	melaniesalas	05 Apr 2019	William Atkins	"255 Palmer Motorway
Schwartzmouth, PW 61054"	A-	Price-Padilla	1634	elizabethdean@hotmail.com	(Decimal('58.4313195'), Decimal('-83.052173'))	93
1990-12-27		PRRPLA72D17F507W	columboatenulf	02/09/2022, 00:00:00	Dott. Ricciotti Pizzetti	"Piazza Leopoldo, 6
09084, Villanova Truschedu (OR)"	B-	Anichini, Marazzi e Pacomio s.r.l.	1897	jacopotrillini@vodafone.it	(Decimal('84.098123'), Decimal('74.609665'))	74
		055-13-8878	patrikhenk	14 Jun 2023	Vassilios Hornig		B-	Weihmann Pechel AG	1109	severinbauer@googlemail.com	(Decimal('-22.574940'), Decimal('108.196675'))	182
		234-52-6515	seiferttoni	2019-09-02	Julie Förster	"Wulfplatz 52
16582 Waldmünchen"	A+	Schuster Ditschlerin KG	426	uhellwig@aol.de	(Decimal('-14.593163'), Decimal('15.643844'))	796
1945-12-08	Boxeador	72091483613	vasconcelosmilena	06/08/2023, 00:00:00	Sra. Elisa Aparecida	"Quadra Gomes, 6
Santa Isabel
07229062 Garcia / AM"	B-	Rios	1187	da-cunhaheitor@uol.com.br	(Decimal('-63.727663'), Decimal('153.961938'))	598
		325-40-6144	sotaro07	2020-05-06	井上 里佳	岐阜県八王子市鍛冶ケ沢35丁目8番8号 虎ノ門虎ノ門ヒルズ森タワーパレス306	A+	株式会社前田保険	1868	rei00@hotmail.com	(Decimal('-37.817594'), Decimal('-22.403852'))	695
1940-11-03		TRTPSL02P59G966H	lolitablasi	2025/07/15	Letizia Fanucci		O-	Miniati-Dallapé s.r.l.	617	fpavone@libero.it	(Decimal('26.1404725'), Decimal('136.275849'))	185
1961-01-04	Paediatric nurse	GSSNCL01H50I454A	mercadantebeppe	2019/03/04	Sig. Ferdinando Rocca	"Contrada Mattia, 86 Piano 0
41058, Vignola (MO)"	AB-	Torlonia, Moschino e Faggiani Group	1388	kmozart@tin.it	(Decimal('27.6482415'), Decimal('99.981374'))	194
1911-03-30	Cenotécnico	96873125482	pimentaravy	03/18/2020, 00:00:00	Isabela Almeida	"Rua de Martins, 2
Vila Boa Vista
43311082 da Conceição Grande / PI"	O-	Dias	1810	sarahcampos@bol.com.br	(Decimal('-75.5695985'), Decimal('106.058275'))	765
		854-41-6723	hideki21	18 Jun 2024	木村 稔	岩手県品川区氏家新田9丁目7番2号	O-	合同会社西村銀行	913	morishohei@gmail.com	(Decimal('39.6940455'), Decimal('-84.476636'))	745
		242-06-1475	mlindau	2019/02/28	Gundi Trupp	"Holtweg 2385
35364 Olpe"	AB+	Schleich	647	gunterseip@hotmail.de	(Decimal('9.2571295'), Decimal('150.471313'))	610
		436-93-9024	urbanschmidtke	2024-12-27	Alwin Peukert	"Vollbrechtgasse 17
44470 Delitzsch"	AB+	Misicher Kensy AG & Co. KGaA	85	dobesannedore@googlemail.com	(Decimal('30.8690745'), Decimal('106.860245'))	834
		904-80-4297	eigenwilligalwine	25 May 2019	Dipl.-Ing. Jonas Beer	"Carolin-Hörle-Platz 66/28
20157 Peine"	O+	Rohleder GmbH	665	xspeer@web.de		649
1929-06-13		59438206710	ryan07	04/26/2023, 00:00:00	Lucca Abreu	"Lago de Silveira, 99
Gutierrez
41385-310 Pastor do Campo / RJ"	AB-	Melo	681	oliver78@gmail.com	(Decimal('-25.545740'), Decimal('-99.819467'))	201
2001-10-05	Architect	436-43-8114	crystalgonzalez	19 Nov 2018	Mary Barrett	"6795 Armstrong Radial Suite 422
Tarashire, AZ 13358"	AB+	Powell, Petersen and Rice	1309	zphillips@hotmail.com	(Decimal('77.219047'), Decimal('77.867029'))	845
1950-06-24		LMBLLL77S25D993D	troisiconcetta	03 Sep 2020	Sig.ra Angelina Pezzali	"Canale Grassi, 4
25135, Brescia (BS)"	O+	Rismondo, Toselli e Borrani Group	524	voltaludovica@live.com	(Decimal('-32.307734'), Decimal('-68.020612'))	289
1952-04-20	Winzer	073-75-2814	joernbenthin	2020-10-26	Annelies Loos	"Börnerstr. 7
08881 Ebern"	O+	Klemt	731	deliahaenel@aol.de	(Decimal('33.630268'), Decimal('150.231618'))	260
		95073481666	dcosta	2024/11/13	Sr. Enzo Gabriel da Conceição	"Distrito Camargo, 30
Sport Club
84522302 Siqueira de Cavalcante / MA"	AB+	Vasconcelos	902	sophiagomes@ig.com.br		196
		038-63-0712	msiering	09 Nov 2018	Katherina Staude	"Adrian-Walter-Weg 7
58475 Bad Freienwalde"	B+	Barth	1630	rupert45@googlemail.com	(Decimal('25.7328275'), Decimal('-169.834706'))	85
	アーティスト	349-75-7933	hayashiakira	2019/01/10	高橋 七夏	三重県御蔵島村月島13丁目21番16号 芝大門クレスト882	O+	山下鉱業合同会社	1764	vsasaki@hotmail.com	(Decimal('80.226908'), Decimal('-74.164449'))	620
	Film/video editor	DVRGNN49B57G627Z	alina96	2020-09-24	Gemma Iacobucci	"Borgo Casarin, 4
20841, Carate Brianza (MB)"	A+	Casellati-Campano SPA	777	ngussoni@hotmail.com	(Decimal('-86.271704'), Decimal('114.289791'))	830
		626-77-4779	victoriakirk	11 Mar 2023	Joseph Hernandez	"969 Hill Loaf
Garciachester, NV 37943"	A-	Bell, Gonzalez and Mayer	747	andrewsanchez@hotmail.com	(Decimal('85.4303115'), Decimal('-149.152050'))	424
		79408125304	caldeirajoao-vitor	25 Jul 2025	Raul Castro	"Colônia Milena Nogueira, 527
Lagoinha
14942-979 Oliveira / MG"	A+	Oliveira	416	marcelamoraes@bol.com.br		378
